COLLEGE,Longitude,Latitude,,
Belhaven,-90.169374,32.31979883586516,,
Brock,-79.24792649557288,43.11786646505366,,
Bryan College,-84.99584919755509,35.499280865251336,,
Central Methodist,-92.68185173367387,39.1503321356992,,
Concordia-Ann Arbor,-83.67824342338615,42.27785501281736,,
Concordia-Nebraska,-97.08798740712074,40.914213574311525,,
Defiance College,-84.35220403254617,41.30005802955514,,
Doane,-96.94387922276074,40.621588208756734,,
Eastern Michigan,-83.64856884316032,42.25750438930012,,
Embry Riddle-AZ,-112.45598092143831,34.61746967795256,,
Georgia State,-84.38529969848744,33.75318082102339,,
Green River College,-122.17855079035526,47.31293038029472,,
Indiana Kokomo,-86.12819362551474,40.48279794055319,,
Indiana Southeast,-85.82222288716359,38.33819097716291,,
Indiana Tech,-85.1157716207957,41.077895354746786,,
Iowa Central CC,-94.20413597974886,42.493437347912966,,
IUPU-Columbus,-85.90226740125806,39.25321545466161,,
Johns Hopkins,-76.61927220488569,39.332220125522724,,
Kalamazoo College,-85.60294489248717,42.284569812514874,,
Kellogg CC,-85.15039590081615,42.34173411353768,,
Loras College,-90.68067024029772,42.505206723606804,,
Madonna,-83.4064070452758,42.38608451247564,,
McPherson College,-97.64211115541855,38.37158744002185,,
Michigan State,-84.48853733894882,42.73202345355727,,
MidAmerican Nazarene,-94.78198705977778,38.86975864986155,,
Middle Georgia St.,-83.7374093014586,32.81620442292535,,
Millersville-PA,-76.36097743335826,40.0002877450116,,
Mount Marty,-97.41030713147052,42.87433692086806,,
Nebraska,-96.71375321809599,40.823072388107434,,
North Alabama,-87.68551552022629,34.809399587521156,,
Ohio,-82.10894119495998,39.324511824350964,,
Purdue Northwest,-87.45765595549938,41.576435700775924,,
Saint Xavier,-87.71626127275543,41.70999756626393,,
San Diego State,-117.0784700951127,32.77436778075296,,
Southern Illinois,-89.22124431515174,37.704752953745434,,
Temple College,-97.3472440526182,31.070371990816078,,
Utah Valley,-111.7172792416959,40.27686954453226,,
Vanguard,-117.90269985972647,33.66061049779591,,
Washington-STL,-90.3137680903358,38.646267325476295,,
William Woods,-91.95695776650864,38.864761292320985,,
